calendar_date,route_id,checkpoint_name,throughput_count,congestion_level
2026-05-05,R008,Yamuna Trek Gate,154,High
2026-05-06,R001,Sonprayag Checkpoint,241,Low
2026-05-06,R002,Kedar Trek Gate,186,Medium
2026-05-06,R003,Joshimath Barrier,304,Low
2026-05-06,R004,Badri Gate,190,High
2026-05-06,R005,Uttarkashi Checkpoint,270,Low
2026-05-06,R006,Gangotri Gate,178,Low
2026-05-06,R007,Janki Chatti Checkpoint,267,Medium
2026-05-06,R008,Yamuna Trek Gate,180,Medium
2026-05-07,R001,Sonprayag Checkpoint,304,Low
2026-05-07,R002,Kedar Trek Gate,180,High
2026-05-07,R003,Joshimath Barrier,267,Low
2026-05-07,R004,Badri Gate,179,High
2026-05-07,R005,Uttarkashi Checkpoint,278,Low
2026-05-07,R006,Gangotri Gate,169,Low
2026-05-07,R007,Janki Chatti Checkpoint,292,Low
2026-05-07,R008,Yamuna Trek Gate,211,High
2026-05-08,R001,Sonprayag Checkpoint,286,Low
2026-05-08,R002,Kedar Trek Gate,195,High
2026-05-08,R003,Joshimath Barrier,278,Low
2026-05-08,R004,Badri Gate,155,High
2026-05-08,R005,Uttarkashi Checkpoint,246,Medium
2026-05-08,R006,Gangotri Gate,199,Low
2026-05-08,R007,Janki Chatti Checkpoint,342,High
2026-05-08,R008,Yamuna Trek Gate,213,Medium
2026-05-09,R001,Sonprayag Checkpoint,410,High
2026-05-09,R002,Kedar Trek Gate,198,Medium
2026-05-09,R003,Joshimath Barrier,393,High
2026-05-09,R004,Badri Gate,251,High
2026-05-09,R005,Uttarkashi Checkpoint,350,High
2026-05-09,R006,Gangotri Gate,233,Low
2026-05-09,R007,Janki Chatti Checkpoint,350,High
2026-05-09,R008,Yamuna Trek Gate,198,High
2026-05-10,R001,Sonprayag Checkpoint,373,High
2026-05-10,R002,Kedar Trek Gate,273,Medium
2026-05-10,R003,Joshimath Barrier,338,High
2026-05-10,R004,Badri Gate,230,Medium
2026-05-10,R005,Uttarkashi Checkpoint,368,High
2026-05-10,R006,Gangotri Gate,236,Low
2026-05-10,R007,Janki Chatti Checkpoint,353,High
2026-05-10,R008,Yamuna Trek Gate,242,High
2026-05-11,R001,Sonprayag Checkpoint,286,Low
2026-05-11,R002,Kedar Trek Gate,192,High
2026-05-11,R003,Joshimath Barrier,319,Low
2026-05-11,R004,Badri Gate,132,High
2026-05-11,R005,Uttarkashi Checkpoint,274,Low
2026-05-11,R006,Gangotri Gate,200,Low
2026-05-11,R007,Janki Chatti Checkpoint,270,Low
2026-05-11,R008,Yamuna Trek Gate,201,Medium
2026-05-12,R001,Sonprayag Checkpoint,256,Medium
2026-05-12,R002,Kedar Trek Gate,192,High
2026-05-12,R003,Joshimath Barrier,261,Low
2026-05-12,R004,Badri Gate,216,High
2026-05-12,R005,Uttarkashi Checkpoint,275,Low
2026-05-12,R006,Gangotri Gate,157,Low
2026-05-12,R007,Janki Chatti Checkpoint,327,Low
2026-05-12,R008,Yamuna Trek Gate,192,Medium
2026-05-13,R001,Sonprayag Checkpoint,254,Low
2026-05-13,R002,Kedar Trek Gate,161,Medium
2026-05-13,R003,Joshimath Barrier,211,Low
2026-05-13,R004,Badri Gate,200,High
2026-05-13,R005,Uttarkashi Checkpoint,298,Low
2026-05-13,R006,Gangotri Gate,205,Low
2026-05-13,R007,Janki Chatti Checkpoint,257,Low
2026-05-13,R008,Yamuna Trek Gate,166,High
2026-05-14,R001,Sonprayag Checkpoint,300,Low
2026-05-14,R002,Kedar Trek Gate,228,Medium
2026-05-14,R003,Joshimath Barrier,256,Low
2026-05-14,R004,Badri Gate,210,High
2026-05-14,R005,Uttarkashi Checkpoint,296,Low
2026-05-14,R006,Gangotri Gate,161,Medium
2026-05-14,R007,Janki Chatti Checkpoint,289,Low
2026-05-14,R008,Yamuna Trek Gate,220,Medium
2026-05-15,R001,Sonprayag Checkpoint,268,Low
2026-05-15,R002,Kedar Trek Gate,192,Low
2026-05-15,R003,Joshimath Barrier,266,Low
2026-05-15,R004,Badri Gate,200,Medium
2026-05-15,R005,Uttarkashi Checkpoint,288,Low
2026-05-15,R006,Gangotri Gate,206,Low
2026-05-15,R007,Janki Chatti Checkpoint,228,Low
2026-05-15,R008,Yamuna Trek Gate,161,High
